phase,iter,step,train_total,train_pde,train_high_bc,test_total,test_pde,test_high_bc,block_loss_before,block_loss_after,block_delta_weights,block_finite,block_num_steps
adam,112,112,0.06035248315205206,,,nan,,,,,,,
adam,113,113,0.05998438748113552,,,nan,,,,,,,
adam,114,114,0.05961924608989636,,,nan,,,,,,,
adam,115,115,0.059257691498720164,,,nan,,,,,,,
adam,116,116,0.05889964866912544,,,nan,,,,,,,
adam,117,117,0.05854444401695648,,,nan,,,,,,,
adam,118,118,0.05819130644743873,,,nan,,,,,,,
adam,119,119,0.057839848528465444,,,nan,,,,,,,
adam,120,120,0.057490198215542056,,,nan,,,,,,,
adam,121,121,0.05714275085770491,,,nan,,,,,,,
adam,122,122,0.05679778221828839,,,nan,,,,,,,
adam,123,123,0.05645521962623688,,,nan,,,,,,,
adam,124,124,0.05611470561819968,,,nan,,,,,,,
adam,125,125,0.05577585788456991,,,nan,,,,,,,
adam,126,126,0.055438505789206866,,,nan,,,,,,,
adam,127,127,0.05510273761790094,,,nan,,,,,,,
adam,128,128,0.054768756535904226,,,nan,,,,,,,
adam,129,129,0.05443668151632484,,,nan,,,,,,,
adam,130,130,0.05410644669370366,,,nan,,,,,,,
adam,131,131,0.053777855845681656,,,nan,,,,,,,
adam,132,132,0.053450726658677526,,,nan,,,,,,,
adam,133,133,0.05312500499349545,,,nan,,,,,,,
adam,134,134,0.05280077124363094,,,nan,,,,,,,
adam,135,135,0.05247815276086293,,,nan,,,,,,,
adam,136,136,0.05215722273098863,,,nan,,,,,,,
adam,137,137,0.05183796219666676,,,nan,,,,,,,
adam,138,138,0.05152030227977701,,,nan,,,,,,,
adam,139,139,0.05120420126586603,,,nan,,,,,,,
adam,140,140,0.05088969291591769,,,nan,,,,,,,
adam,141,141,0.05057687478348885,,,nan,,,,,,,
adam,142,142,0.05026585598913674,,,nan,,,,,,,
adam,143,143,0.0499567116168936,,,nan,,,,,,,
adam,144,144,0.049649478172083136,,,nan,,,,,,,
adam,145,145,0.049344187397544474,,,nan,,,,,,,
adam,146,146,0.049040906464414696,,,nan,,,,,,,
adam,147,147,0.048739752489499875,,,nan,,,,,,,
adam,148,148,0.048440874101413844,,,nan,,,,,,,
adam,149,149,0.04814441942390687,,,nan,,,,,,,
adam,150,150,0.04785051731612073,,,nan,,,,,,,
adam,151,151,0.04755928398381142,,,nan,,,,,,,
adam,152,152,0.04727084501709305,,,nan,,,,,,,
adam,153,153,0.046985352103569446,,,nan,,,,,,,
adam,154,154,0.04670298113434834,,,nan,,,,,,,
adam,155,155,0.04642391551585956,,,nan,,,,,,,
adam,156,156,0.04614832995128849,,,nan,,,,,,,
adam,157,157,0.04587638718889482,,,nan,,,,,,,
adam,158,158,0.045608247543808295,,,nan,,,,,,,
adam,159,159,0.045344080311011725,,,nan,,,,,,,
adam,160,160,0.04508406614250218,,,nan,,,,,,,
adam,161,161,0.04482838861944985,,,nan,,,,,,,
adam,162,162,0.044577222598900984,,,nan,,,,,,,
adam,163,163,0.044330728468927015,,,nan,,,,,,,
adam,164,164,0.04408905493496498,,,nan,,,,,,,
adam,165,165,0.04385234511331602,,,nan,,,,,,,
adam,166,166,0.04362073856401531,,,nan,,,,,,,
adam,167,167,0.04339436659130031,,,nan,,,,,,,
adam,168,168,0.04317334460259994,,,nan,,,,,,,
adam,169,169,0.04295776752665554,,,nan,,,,,,,
adam,170,170,0.04274771080952337,,,nan,,,,,,,
adam,171,171,0.04254323423267414,,,nan,,,,,,,
adam,172,172,0.04234438377266044,,,nan,,,,,,,
adam,173,173,0.04215118937290443,,,nan,,,,,,,
adam,174,174,0.04196366075688369,,,nan,,,,,,,
adam,175,175,0.04178178510713024,,,nan,,,,,,,
adam,176,176,0.04160552832554136,,,nan,,,,,,,
adam,177,177,0.04143483818573138,,,nan,,,,,,,
adam,178,178,0.04126964640937596,,,nan,,,,,,,
adam,179,179,0.04110986848503434,,,nan,,,,,,,
adam,180,180,0.04095540274015443,,,nan,,,,,,,
adam,181,181,0.04080613099609503,,,nan,,,,,,,
adam,182,182,0.04066192149823861,,,nan,,,,,,,
adam,183,183,0.04052263265132553,,,nan,,,,,,,
adam,184,184,0.04038811562601964,,,nan,,,,,,,
adam,185,185,0.04025821538238371,,,nan,,,,,,,
adam,186,186,0.040132771336863445,,,nan,,,,,,,
adam,187,187,0.04001161905817201,,,nan,,,,,,,
adam,188,188,0.039894593067204526,,,nan,,,,,,,
adam,189,189,0.03978152959294889,,,nan,,,,,,,
adam,190,190,0.03967226825896066,,,nan,,,,,,,
adam,191,191,0.03956665282465695,,,nan,,,,,,,
adam,192,192,0.039464531920089786,,,nan,,,,,,,
adam,193,193,0.03936576036713893,,,nan,,,,,,,
adam,194,194,0.03927020070609281,,,nan,,,,,,,
adam,195,195,0.03917772409166852,,,nan,,,,,,,
